,accuracy,capturedAt,convergenceStatus,latitude,longitude,planterCheckInId,treeUuid
1501,6,1601876085463,CONVERGED,-6.6591074787281705,37.6216403172758,1,510a6868-246d-449e-946b-212f61a1b85b
1515,8,1601876103411,CONVERGED,-6.659147858513879,37.62158849688064,1,ffcb3876-141b-4f05-aaf5-7e7beb284f4a
1527,6,1601876118510,CONVERGED,-6.6591527083134086,37.62159053965962,1,8a982a6b-77c1-44b7-8a00-12216610cc62
1539,6,1601876133627,CONVERGED,-6.659125209550942,37.621581288937946,1,07cf5021-328f-4fc6-a72c-0587650a72cd
1551,12,1601876150818,CONVERGED,-6.659118638025104,37.62154606548803,1,8a005646-2450-4df9-b5c8-8dd04c143f3c
1564,8,1601876170028,CONVERGED,-6.659161775497633,37.62151321577467,1,719ff11c-3ef8-4521-8ae4-ac18bc8a6e15
1579,8,1601876185085,CONVERGED,-6.659152409029497,37.62149016544437,1,5e8cd6a5-88e6-4787-893d-3b4a82b25c46
1593,12,1601876199538,CONVERGED,-6.659161114964046,37.62146169776828,1,c77b0f05-6115-41b1-98f3-594fbc3449f2
1606,6,1601876214351,CONVERGED,-6.659183099031094,37.62145384007125,1,8100e141-33eb-497c-ae1f-758731db547b
1624,8,1601876233724,CONVERGED,-6.6591943996911915,37.62136998344625,1,25e0df0b-a8ed-4688-a9ce-e25369935e4f
1637,6,1601876248042,CONVERGED,-6.659198488194808,37.62134674606821,1,968b9946-7f65-40ba-8204-0c1ac9a39725
1651,6,1601876263293,CONVERGED,-6.659193886370468,37.621305312292684,1,defcb722-ec05-408d-b2ca-246c6d23e1ea
1661,6,1601876276195,CONVERGED,-6.6592092882501355,37.621271178155496,1,479a5cff-3b45-4bca-8090-250f56c0e4e8
1678,6,1601876295510,CONVERGED,-6.659209012816792,37.621257071757896,1,d6de1437-bc7c-4b27-a0d6-f8fecfadcca8
1700,8,1601876321539,CONVERGED,-6.65921343061884,37.62121429823514,1,7c63af59-74f9-4a6d-bfae-5ca09e16ffcb
1711,8,1601876337438,CONVERGED,-6.659222720203844,37.62119376261986,1,505b97e9-ddf8-424f-8537-235fcc7e52d3
1724,8,1601876354117,CONVERGED,-6.65923953003531,37.62117991338837,1,991ef858-f017-4953-9eb5-a02f84461b49
1735,8,1601876369434,CONVERGED,-6.659233540382774,37.62115613785341,1,e0b7388f-ebd9-4268-94a8-b68d67970aee
1746,8,1601876384941,CONVERGED,-6.659232495880987,37.621148801222645,1,cd5ef0c3-3eca-4411-abfa-9b663f3c366a
1756,8,1601876400626,CONVERGED,-6.659225334756978,37.62114163373665,1,4f7c2f42-7cf1-43e9-a0e6-e88b2987e31d
1769,8,1601876419691,CONVERGED,-6.659238595810791,37.62110386380199,1,f76a9e23-55c3-4295-81d2-a5e632625d5c
